Country,Happiness score,Whisker-high,Whisker-low, GDP per capita, Social support,Healthy life expectancy,Freedom to make life choices, Generosity,Perceptions of corruption,Dystopia (1.85) + residual,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education
Afghanistan,3.794,3.874,3.714,0.401,0.582,0.181,0.106,0.312,0.061,2.151,35.66,42.65,38,26.34,72.74,29.33,22.92,45.63,53.37,47.61,29.37,21.64,37.4,38.97,22.25,6.73
Albania,4.644,4.752,4.536,0.996,0.804,0.731,0.381,0.201,0.04,1.49,70.97,85.53,78.35,49.04,98.17,90.69,80.45,72.82,95.99,78.81,74.99,63.62,60.53,54.87,48.6,32.16
Algeria,5.872,5.978,5.766,1.092,1.146,0.618,0.233,0.069,0.146,2.568,65.41,78.15,77.09,40.98,95.01,81.23,70.58,65.77,93.31,67.65,77.81,69.59,36.21,60.11,38.58,29
Angola,3.795,3.952,3.638,0.858,1.104,0.05,0,0.098,0.07,1.614,40.73,44.37,48.76,29.05,69.33,27.63,28.49,52.04,60.59,47.64,46.1,40.7,28.28,27.26,46.7,13.96
Argentina,6.599,6.69,6.508,1.185,1.44,0.695,0.495,0.109,0.06,2.614,75.9,81.71,79.41,66.58,97.34,98.32,67.25,63.92,97.23,82.29,70.57,67.54,67.51,67.52,72.42,58.88
Armenia,4.376,4.467,4.285,0.901,1.007,0.638,0.198,0.083,0.027,1.521,69.01,85.83,76.49,44.7,96.85,96.42,77.71,72.32,95.69,77.91,66.12,66.26,43.06,49.32,39.84,46.58
Australia,7.284,7.357,7.211,1.484,1.51,0.844,0.602,0.478,0.301,2.065,89.3,94.44,88.82,84.65,99.43,100,87.1,91.23,97.99,89.09,83.4,84.82,93.41,87.19,77.19,80.8
Austria,7.006,7.071,6.941,1.487,1.46,0.815,0.568,0.316,0.221,2.139,87.98,95.72,89.56,78.64,99.53,100,90.15,93.22,98,90.7,78.77,90.78,93.93,84.41,73.76,62.47
Azerbaijan,5.234,5.299,5.169,1.154,1.152,0.541,0.398,0.045,0.181,1.762,65.33,82.66,73.83,39.5,96.18,76.97,82.4,75.1,98.42,71.83,65.66,59.42,18.4,48.17,39.9,51.53
Bangladesh,4.608,4.69,4.526,0.587,0.735,0.533,0.478,0.172,0.124,1.979,54.84,67.4,60.41,36.72,86.34,57.26,55.94,70.05,77.14,53.3,62.69,48.52,37.53,49.98,41.59,17.78
Belarus,5.569,5.646,5.492,1.157,1.445,0.638,0.295,0.155,0.156,1.723,67.8,87.2,67.37,48.84,99.29,95.42,78.74,75.36,99.5,69.25,45.11,55.61,23.49,61.58,48,62.29
